绿地名邸公馆毛坯两房，无遮挡，交通便利，看房方便！低楼层(共32层)|2015年建|2室2厅|89.53平米|东南,绿地国际金融城二期,235万,https://wh.ke.com/ershoufang/18082910510101140675.html,单价26248.2元/平米,近地铁|VR房源|随时看房
联投一期精装婚房 从未住过 业主急售带地暖 可看江低楼层(共46层)3室2厅|129.78平米|南北,联投中心,420万,https://wh.ke.com/ershoufang/19090110510100138756.html,单价32362.5元/平米,近地铁|VR房源|随时看房
民水民电带天然气，楼下是地铁2号线7号线高楼层(共17层)|2014年建|2室2厅|36平米|南,友谊国际D+公馆,85万,https://wh.ke.com/ershoufang/19042910510100125378.html,单价23611.1元/平米,近地铁|满五年
凤凰城精装三房  南北通透  拎包入住  看房方便低楼层(共33层)|2007年建|3室2厅|142.22平米|南北,华润置地凤凰城,405万,https://wh.ke.com/ershoufang/18111110510100105116.html,单价28477元/平米,满五年|VR房源
积玉桥水岸国际LOFT复式公寓办公精装修业主诚意出售中楼层(共21层)|2010年建|1室0厅|81.26平米|东北,福星惠誉水岸国际,146万,https://wh.ke.com/ershoufang/19110110510100136968.html,单价17967元/平米,近地铁
三期必看江景房  新房未住人 看房方便高楼层(共33层)2室1厅|87.78平米|南,恒大首府,246万,https://wh.ke.com/ershoufang/20011010510100144059.html,单价28024.6元/平米,VR房源
蓝湾俊园顶楼复式 精装修 带大露台高楼层(共10层)|2002年建|4室2厅|202.14平米|南北,蓝湾俊园,500万,https://wh.ke.com/ershoufang/19031610510100134549.html,单价24735.3元/平米,近地铁|VR房源|随时看房
恒大首 府三期高楼层精装修，全明朝南采光充足户型高楼层(共33层)2室2厅|89.76平米|东,恒大首府,268万,https://wh.ke.com/ershoufang/19121910510100508764.html,单价29857.4元/平米,VR房源
友谊国际带暖气 朝南高层 产证满两年 有车位 看房方便高楼层(共19层)|2007年建|2室2厅|96.69平米|南,友谊国际,250万,https://wh.ke.com/ershoufang/19071610510100127621.html,单价25855.8元/平米,近地铁|满两年|VR房源
水岸国际 复式小公寓 可办公可居家 总价不高高楼层(共21层)|2010年建|1室1厅|45平米|南,福星惠誉水岸国际,86万,https://wh.ke.com/ershoufang/19032910510100162554.html,单价19111.1元/平米,近地铁
